C Major Scale,D Major Scale,E Major Scale,F Major Scale,G Major Scale,A Major Scale,B Major Scale,C# Major Scale,D# Major Scale,F# Major Scale,G# Major Scale,A# Major Scale,A Major Arpeggio,E Major Arpeggio,B Major Arpeggio,C Major Arpeggio,G Major Arpeggio,D Major Arpeggio
60,62,64,65,67,69,71,61,63,66,68,70,69,64,71,60,67,62
62,64,66,67,69,71,73,63,65,68,70,72,73,68,75,64,71,66
64,66,68,69,71,73,75,65,67,70,72,74,76,71,78,67,72,69
65,67,69,70,72,74,76,66,68,71,73,75,81,76,83,72,79,74
67,69,71,72,74,76,78,68,70,73,75,77,76,71,78,67,72,69
69,71,73,74,76,78,80,70,72,75,77,79,73,68,75,64,71,66
71,73,75,76,78,80,82,72,74,77,79,81,69,64,71,60,67,62
72,74,76,77,79,81,83,73,75,78,80,82,,,,,,
71,73,75,76,78,80,82,72,74,77,79,81,,,,,,
69,71,73,74,76,78,80,70,72,75,77,79,,,,,,
67,69,71,72,74,76,78,68,70,73,75,77,,,,,,
65,67,69,70,72,74,76,66,68,71,73,75,,,,,,
64,66,68,69,71,73,75,65,67,70,72,74,,,,,,
62,64,66,67,69,71,73,63,65,68,70,72,,,,,,
60,62,64,65,67,69,71,61,63,66,68,70,,,,,,
