Subject ID,Reported Skill,Amazing Grace,Traumerei,Clavier,Opus,Nocturne,Sonata
1,4,1,1,1,1,0,0
2,2,1,1,0,0,0,0
3,5,1,1,1,1,0,1
4,10,1,1,1,1,1,1
5,6,1,1,1,1,0,1
6,5,1,1,1,1,0,0
7,7,1,1,1,1,0,1
8,8,1,1,1,1,0,1
9,4,1,1,1,0,0,0
10,8,1,1,1,1,1,1
11,9,1,1,1,1,1,1
13,5,1,1,1,1,1,1
14,2,1,0,0,0,0,0
15,7,1,1,1,1,0,0
16,6,1,1,1,1,1,1
17,7,1,1,1,1,1,1
18,8,1,1,1,1,0,1
19,9,1,1,1,1,0,0
20,9,1,1,1,1,1,1
21,3,1,1,0,0,0,0
22,6,1,1,1,1,0,0
23,6,1,1,1,1,1,1
24,8,1,1,1,1,1,1
25,5,1,1,1,0,0,1
26,6,1,1,1,1,0,0
27,6,1,1,1,1,1,1
28,8,1,1,1,1,1,1
29,8,1,1,1,1,1,1
30,9,1,1,1,1,1,1
31,9,1,1,1,1,1,1
32,9,1,1,1,1,0,1
33,6,1,1,1,1,0,0
34,3,1,1,1,1,0,0
35,1,1,1,0,0,0,0
36,5,1,1,1,0,0,0
37,5,1,1,1,1,0,1
,,,,,,,
